年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,TV放送
2007,Ｊ２,第１１節第１日,04/25(水),19:03,福岡,2-2,Ｃ大阪,博多球,"6,694",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／テレビ西日本（録）
2007,Ｊ２,第１１節第１日,04/25(水),19:04,山形,3-3,仙台,ＮＤスタ,"6,604",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2007,Ｊ２,第１１節第１日,04/25(水),19:04,水戸,0-2,湘南,笠松,958,スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）
2007,Ｊ２,第１１節第１日,04/25(水),19:04,愛媛,0-1,草津,愛媛陸,"2,487",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）
2007,Ｊ２,第１１節第１日,04/25(水),19:05,京都,1-1,鳥栖,西京極,"3,529",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／ＫＢＳ京都
2007,Ｊ２,第１２節第１日,04/28(土),13:03,Ｃ大阪,1-0,草津,長居２,"4,312",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2007,Ｊ２,第１２節第１日,04/28(土),14:03,札幌,1-0,愛媛,札幌ド,"13,781",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／北海道テレビ
2007,Ｊ２,第１２節第２日,04/29(日・祝),13:04,仙台,2-0,水戸,ユアスタ,"15,897",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2007,Ｊ２,第１２節第２日,04/29(日・祝),13:04,徳島,0-1,福岡,鳴門,"3,941",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）
2007,Ｊ２,第１２節第２日,04/29(日・祝),16:03,鳥栖,2-1,東京Ｖ,鳥栖,"7,023",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／ＮＨＫ佐賀
2007,Ｊ２,第１２節第２日,04/29(日・祝),19:03,湘南,0-4,山形,平塚,"5,875",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2007,Ｊ２,第１３節第１日,05/03(木・祝),13:03,草津,2-1,札幌,群馬陸,"5,051",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／群馬テレビ（録）
2007,Ｊ２,第１３節第１日,05/03(木・祝),13:03,福岡,2-0,湘南,博多球,"8,112",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2007,Ｊ２,第１３節第１日,05/03(木・祝),13:04,仙台,0-1,京都,ユアスタ,"19,033",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2007,Ｊ２,第１３節第１日,05/03(木・祝),13:04,山形,2-1,鳥栖,ＮＤスタ,"5,407",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）
2007,Ｊ２,第１３節第１日,05/03(木・祝),16:03,東京Ｖ,1-5,水戸,国立,"9,001",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）
2007,Ｊ２,第１３節第１日,05/03(木・祝),16:03,Ｃ大阪,1-1,徳島,長居２,"6,611",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）
2007,Ｊ２,第１４節第１日,05/06(日),13:04,札幌,1-0,仙台,札幌厚別,"12,070",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）
2007,Ｊ２,第１４節第１日,05/06(日),13:04,水戸,1-1,徳島,笠松,"1,067",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／ＮＨＫ水戸＊
2007,Ｊ２,第１４節第１日,05/06(日),13:04,愛媛,0-1,山形,愛媛陸,"3,147",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）
2007,Ｊ２,第１４節第１日,05/06(日),13:05,京都,1-4,東京Ｖ,西京極,"4,811",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／ＫＢＳ京都（録）
2007,Ｊ２,第１４節第１日,05/06(日),16:03,湘南,3-2,草津,平塚,"3,375",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）
2007,Ｊ２,第１４節第１日,05/06(日),16:03,鳥栖,1-0,Ｃ大阪,鳥栖,"4,928",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2007,Ｊ２,第１５節第１日,05/12(土),13:04,愛媛,0-4,湘南,愛媛陸,"3,187",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2007,Ｊ２,第１５節第１日,05/12(土),14:04,徳島,1-1,鳥栖,鳴門大塚,"2,528",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／ＮＨＫ徳島
2007,Ｊ２,第１５節第２日,05/13(日),13:03,草津,1-3,仙台,群馬陸,"4,042",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／群馬テレビ（録）
2007,Ｊ２,第１５節第２日,05/13(日),13:03,福岡,2-4,京都,博多球,"8,742",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）
2007,Ｊ２,第１５節第２日,05/13(日),14:04,山形,1-1,東京Ｖ,ＮＤスタ,"8,221",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／ＮＨＫ山形
